#YYYY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2000,1,5,18,204,6.4,8.0,99.0,99.0,99.0,999,1024.8,-4.5,0.2,-8.2,99.0,
2000,1,5,19,200,7.4,8.3,99.0,99.0,99.0,999,1023.8,-3.9,0.2,-7.3,99.0,
2000,1,5,20,186,10.3,12.0,99.0,99.0,99.0,999,1023.0,-3.2,0.4,-6.7,99.0,
2000,1,5,21,184,9.4,10.4,99.0,99.0,99.0,999,1022.6,-3.3,0.4,-6.8,99.0,
2000,1,5,22,180,11.7,13.4,99.0,99.0,99.0,999,1021.9,-3.0,0.3,-6.2,99.0,
2000,1,5,23,185,14.2,16.0,99.0,99.0,99.0,999,1021.2,-2.3,0.3,-4.6,99.0,
2000,1,6,0,173,14.7,17.4,99.0,99.0,99.0,999,1020.0,-1.9,0.3,-3.3,99.0,
2000,1,6,1,174,17.7,19.9,99.0,99.0,99.0,999,1018.3,-0.8,0.6,-4.1,99.0,
2000,1,6,2,178,19.3,21.7,99.0,99.0,99.0,999,1018.2,-0.6,2.4,-2.8,99.0,
2000,1,6,3,180,18.7,20.8,99.0,99.0,99.0,999,1017.8,-0.6,1.1,-2.5,99.0,
2000,1,6,4,191,15.8,18.8,99.0,99.0,99.0,999,1018.7,-1.4,0.8,-4.5,99.0,
2000,1,6,5,193,11.6,13.6,99.0,99.0,99.0,999,1018.7,-2.3,0.8,-4.8,99.0,
2000,1,6,6,194,11.7,13.4,99.0,99.0,99.0,999,1018.4,-2.8,0.7,-5.4,99.0,
2000,1,6,7,195,9.6,11.6,99.0,99.0,99.0,999,1017.4,-3.2,0.8,-5.3,99.0,
2000,1,6,8,199,10.2,12.0,99.0,99.0,99.0,999,1016.9,-3.3,0.7,-5.4,99.0,
2000,1,6,9,205,9.0,11.1,99.0,99.0,99.0,999,1016.6,-3.0,0.7,-5.0,99.0,
2000,1,6,10,213,9.4,11.6,99.0,99.0,99.0,999,1016.1,-2.6,0.7,-4.6,99.0,
2000,1,6,11,204,8.1,9.8,99.0,99.0,99.0,999,1015.8,-2.1,0.7,-4.1,99.0,
2000,1,6,12,208,7.1,8.1,99.0,99.0,99.0,999,1016.0,-1.4,0.7,-4.0,99.0,
2000,1,6,13,215,5.5,6.9,99.0,99.0,99.0,999,1016.5,-2.0,0.8,-4.2,99.0,
2000,1,6,14,214,5.0,6.0,99.0,99.0,99.0,999,1016.6,-2.4,0.7,-4.3,99.0,
2000,1,6,15,215,7.6,9.0,99.0,99.0,99.0,999,1017.4,-2.2,0.8,-4.2,99.0,
2000,1,6,16,212,6.1,7.5,99.0,99.0,99.0,999,1017.9,-1.1,0.8,-3.0,99.0,
2000,1,6,17,226,8.2,10.3,99.0,99.0,99.0,999,1017.4,0.1,1.3,-2.6,99.0,
2000,1,6,18,226,8.0,9.3,99.0,99.0,99.0,999,1016.5,1.1,1.1,-3.4,99.0,
2000,1,6,19,246,10.0,11.6,99.0,99.0,99.0,999,1016.6,1.8,1.4,-4.2,99.0,
2000,1,6,20,236,8.9,11.8,99.0,99.0,99.0,999,1017.1,1.8,1.0,-4.4,99.0,
2000,1,6,21,247,7.2,8.8,99.0,99.0,99.0,999,1017.5,2.0,1.3,-4.2,99.0,
2000,1,6,22,239,8.0,9.8,99.0,99.0,99.0,999,1018.2,1.6,1.2,-4.2,99.0,
2000,1,6,23,253,5.3,6.8,99.0,99.0,99.0,999,1018.5,0.6,1.2,-5.7,99.0,
2000,1,7,0,241,5.0,6.1,99.0,99.0,99.0,999,1019.3,-0.4,1.5,-6.3,99.0,
2000,1,7,1,239,5.0,6.1,99.0,99.0,99.0,999,1019.9,-1.2,2.2,-6.6,99.0,
2000,1,7,2,258,8.2,10.1,99.0,99.0,99.0,999,1020.2,-1.0,1.0,-6.9,99.0,
2000,1,7,3,275,8.2,10.3,99.0,99.0,99.0,999,1021.0,-3.2,0.6,-9.3,99.0,
2000,1,7,4,286,5.7,7.3,99.0,99.0,99.0,999,1021.2,-4.4,1.2,-11.3,99.0,
2000,1,7,5,268,3.1,4.4,99.0,99.0,99.0,999,1021.6,-4.8,1.2,-10.5,99.0,
2000,1,7,6,263,3.9,5.4,99.0,99.0,99.0,999,1021.7,-4.5,1.1,-10.2,99.0,
2000,1,7,7,269,6.1,7.5,99.0,99.0,99.0,999,1021.7,-4.5,0.9,-9.1,99.0,
2000,1,7,8,283,4.5,5.7,99.0,99.0,99.0,999,1022.1,-4.7,0.9,-9.1,99.0,
2000,1,7,9,294,5.4,6.2,99.0,99.0,99.0,999,1022.8,-4.7,0.9,-8.3,99.0,
2000,1,7,10,305,6.2,7.8,99.0,99.0,99.0,999,1023.4,-5.3,0.9,-9.3,99.0,
2000,1,7,11,303,8.0,11.2,99.0,99.0,99.0,999,1024.6,-6.7,0.8,-11.9,99.0,
2000,1,7,12,278,4.9,6.6,99.0,99.0,99.0,999,1025.5,-8.2,0.8,-12.5,99.0,
2000,1,7,13,286,6.0,8.0,99.0,99.0,99.0,999,1026.7,-9.2,0.7,-13.1,99.0,
2000,1,7,14,277,5.3,6.6,99.0,99.0,99.0,999,1027.2,-9.9,0.7,-13.5,99.0,
2000,1,7,15,277,5.6,7.7,99.0,99.0,99.0,999,1028.2,-10.4,0.6,-14.5,99.0,
2000,1,7,16,282,5.3,6.5,99.0,99.0,99.0,999,1028.3,-10.1,0.5,-14.5,99.0,
2000,1,7,17,265,6.0,7.1,99.0,99.0,99.0,999,1028.8,-9.5,0.5,-14.7,99.0,
2000,1,7,18,245,5.3,6.6,99.0,99.0,99.0,999,1028.8,-9.0,0.5,-14.8,99.0,
2000,1,7,19,248,5.9,6.8,99.0,99.0,99.0,999,1028.6,-8.1,0.5,-16.3,99.0,
2000,1,7,20,244,4.7,5.7,99.0,99.0,99.0,999,1028.4,-7.2,0.5,-17.6,99.0,
2000,1,7,21,238,4.3,5.2,99.0,99.0,99.0,999,1028.3,-6.6,0.3,-18.1,99.0,
2000,1,7,22,219,2.3,3.5,99.0,99.0,99.0,999,1027.3,-6.2,0.3,-15.7,99.0,
2000,1,7,23,202,4.5,5.5,99.0,99.0,99.0,999,1027.0,-6.7,0.3,-15.9,99.0,
2000,1,8,0,205,3.2,4.0,99.0,99.0,99.0,999,1026.7,-6.6,0.2,-14.4,99.0,
2000,1,8,1,203,6.5,7.7,99.0,99.0,99.0,999,1025.5,-5.8,0.2,-13.8,99.0,
2000,1,8,2,206,8.5,10.3,99.0,99.0,99.0,999,1025.2,-5.9,0.1,-12.8,99.0,
2000,1,8,3,200,9.3,12.0,99.0,99.0,99.0,999,1023.9,-5.0,0.0,-12.5,99.0,
2000,1,8,4,205,7.6,8.5,99.0,99.0,99.0,999,1023.4,-5.1,0.0,-10.6,99.0,
2000,1,8,5,195,8.0,9.5,99.0,99.0,99.0,999,1021.9,-4.5,-0.1,-9.5,99.0,
2000,1,8,6,192,9.9,11.9,99.0,99.0,99.0,999,1020.1,-2.1,-0.1,-7.4,99.0,
2000,1,8,7,199,11.8,13.7,99.0,99.0,99.0,999,1018.2,-3.2,0.0,-8.2,99.0,
2000,1,8,8,203,10.1,11.6,99.0,99.0,99.0,999,1017.3,-3.1,0.1,-7.6,99.0,
2000,1,8,9,207,9.9,11.7,99.0,99.0,99.0,999,1016.1,-0.3,0.9,-5.6,99.0,
2000,1,8,10,218,10.2,12.0,99.0,99.0,99.0,999,1015.3,1.6,1.4,-5.4,99.0,
2000,1,8,11,215,9.0,11.3,99.0,99.0,99.0,999,1014.9,1.4,1.7,-5.2,99.0,
2000,1,8,12,215,6.9,8.4,99.0,99.0,99.0,999,1014.6,1.4,0.8,-5.0,99.0,
2000,1,8,13,222,8.0,9.6,99.0,99.0,99.0,999,1014.0,1.6,0.8,-4.7,99.0,
2000,1,8,14,221,7.0,8.6,99.0,99.0,99.0,999,1013.1,1.4,0.9,-5.0,99.0,
2000,1,8,15,218,6.6,7.7,99.0,99.0,99.0,999,1012.4,1.5,0.9,-4.7,99.0,
