#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2010,01,06,21,00,310,4.9,5.6,99.00,99.00,99.00,999,1020.6,-5.0,999.0,-8.5,99.0,99.00
2010,01,06,22,00,317,3.0,3.3,99.00,99.00,99.00,999,1020.7,-5.0,999.0,-8.4,99.0,99.00
2010,01,06,23,00,292,4.5,5.1,99.00,99.00,99.00,999,1021.2,-5.0,999.0,-8.4,99.0,99.00
2010,01,07,00,00,319,4.4,5.0,99.00,99.00,99.00,999,1021.0,-5.2,999.0,-8.3,99.0,99.00
2010,01,07,01,00,298,4.2,4.9,99.00,99.00,99.00,999,1021.0,-5.2,999.0,-7.8,99.0,99.00
2010,01,07,02,00,335,4.9,5.7,99.00,99.00,99.00,999,1020.6,-5.2,999.0,-7.0,99.0,99.00
2010,01,07,03,00,333,4.2,4.6,99.00,99.00,99.00,999,1020.2,-4.9,999.0,-6.3,99.0,99.00
2010,01,07,04,00,327,3.9,4.3,99.00,99.00,99.00,999,1019.9,-4.7,999.0,-6.1,99.0,99.00
2010,01,07,05,00,328,4.0,4.8,99.00,99.00,99.00,999,1019.7,-4.8,999.0,-6.0,99.0,99.00
2010,01,07,06,00,322,3.5,4.3,99.00,99.00,99.00,999,1019.1,-4.6,999.0,-6.2,99.0,99.00
2010,01,07,07,00,353,6.4,7.7,99.00,99.00,99.00,999,1018.1,-4.4,999.0,-4.8,99.0,99.00
2010,01,07,08,00,333,3.8,4.4,99.00,99.00,99.00,999,1018.2,-4.7,999.0,-5.1,99.0,99.00
2010,01,07,09,00,343,4.9,6.0,99.00,99.00,99.00,999,1017.5,-4.5,999.0,-5.1,99.0,99.00
2010,01,07,10,00,5,9.0,9.9,99.00,99.00,99.00,999,1016.2,-3.8,999.0,-4.8,99.0,99.00
2010,01,07,11,00,8,8.8,9.7,99.00,99.00,99.00,999,1015.2,-3.7,999.0,-4.5,99.0,99.00
2010,01,07,12,00,16,8.7,10.4,99.00,99.00,99.00,999,1015.1,-3.2,999.0,-3.5,99.0,99.00
2010,01,07,13,00,78,9.1,10.1,99.00,99.00,99.00,999,1014.5,-1.7,999.0,-2.9,99.0,99.00
2010,01,07,14,00,78,9.6,10.3,99.00,99.00,99.00,999,1014.3,-2.1,999.0,-3.2,99.0,99.00
2010,01,07,15,00,72,10.1,10.9,99.00,99.00,99.00,999,1014.2,-2.3,999.0,-3.6,99.0,99.00
2010,01,07,16,00,69,12.4,14.0,99.00,99.00,99.00,999,1014.1,-2.3,999.0,-3.3,99.0,99.00
2010,01,07,17,00,82,8.6,9.5,99.00,99.00,99.00,999,1013.7,-2.5,999.0,-2.8,99.0,99.00
2010,01,07,18,00,69,9.3,10.8,99.00,99.00,99.00,999,1012.5,-2.5,999.0,-2.9,99.0,99.00
2010,01,07,19,00,65,10.5,11.6,99.00,99.00,99.00,999,1011.6,-1.9,999.0,-2.7,99.0,99.00
2010,01,07,20,00,147,10.5,12.4,99.00,99.00,99.00,999,1011.3,-1.9,999.0,-2.6,99.0,99.00
2010,01,07,21,00,77,9.1,10.2,99.00,99.00,99.00,999,1012.3,-2.3,999.0,-2.6,99.0,99.00
2010,01,07,22,00,68,8.2,9.0,99.00,99.00,99.00,999,1012.7,-2.0,999.0,-3.1,99.0,99.00
2010,01,07,23,00,52,10.0,11.1,99.00,99.00,99.00,999,1013.2,-2.0,999.0,-3.2,99.0,99.00
2010,01,08,00,00,49,10.8,11.9,99.00,99.00,99.00,999,1013.5,-1.9,999.0,-2.4,99.0,99.00
2010,01,08,01,00,39,12.7,13.9,99.00,99.00,99.00,999,1013.5,-1.6,999.0,-1.9,99.0,99.00
2010,01,08,02,00,24,18.6,22.0,99.00,99.00,99.00,999,1013.6,-0.7,999.0,-3.7,99.0,99.00
2010,01,08,03,00,8,15.1,17.0,99.00,99.00,99.00,999,1015.0,-3.3,999.0,-3.8,99.0,99.00
2010,01,08,04,00,7,16.9,18.6,99.00,99.00,99.00,999,1015.4,-3.2,999.0,-4.3,99.0,99.00
2010,01,08,05,00,9,16.7,19.5,99.00,99.00,99.00,999,1016.2,-3.0,999.0,-5.4,99.0,99.00
2010,01,08,06,00,356,15.5,17.7,99.00,99.00,99.00,999,1016.9,-3.2,999.0,-6.1,99.0,99.00
2010,01,08,07,00,2,15.1,17.6,99.00,99.00,99.00,999,1017.3,-3.3,999.0,-6.6,99.0,99.00
2010,01,08,08,00,359,15.8,19.0,99.00,99.00,99.00,999,1018.5,-4.2,999.0,-8.0,99.0,99.00
2010,01,08,09,00,344,14.8,17.6,99.00,99.00,99.00,999,1019.4,-4.5,999.0,-8.3,99.0,99.00
2010,01,08,10,00,341,11.5,14.3,99.00,99.00,99.00,999,1020.3,-5.0,999.0,-8.7,99.0,99.00
2010,01,08,11,00,342,11.2,14.8,99.00,99.00,99.00,999,1020.8,-5.7,999.0,-8.9,99.0,99.00
2010,01,08,12,00,339,11.8,14.5,99.00,99.00,99.00,999,1021.6,-6.3,999.0,-10.0,99.0,99.00
2010,01,08,13,00,337,11.1,13.6,99.00,99.00,99.00,999,1022.6,-7.0,999.0,-10.8,99.0,99.00
2010,01,08,14,00,332,10.6,13.3,99.00,99.00,99.00,999,1023.6,-7.2,999.0,-11.4,99.0,99.00
2010,01,08,15,00,333,10.8,12.9,99.00,99.00,99.00,999,1024.5,-7.2,999.0,-11.2,99.0,99.00
2010,01,08,16,00,342,11.1,12.8,99.00,99.00,99.00,999,1025.2,-7.2,999.0,-11.9,99.0,99.00
2010,01,08,17,00,333,8.8,11.2,99.00,99.00,99.00,999,1025.5,-7.2,999.0,-11.5,99.0,99.00
2010,01,08,18,00,329,11.2,13.1,99.00,99.00,99.00,999,1025.2,-7.3,999.0,-12.1,99.0,99.00
2010,01,08,19,00,331,11.2,12.5,99.00,99.00,99.00,999,1025.3,-7.3,999.0,-12.4,99.0,99.00
2010,01,08,20,00,335,8.9,11.4,99.00,99.00,99.00,999,1026.1,-7.2,999.0,-12.4,99.0,99.00
2010,01,08,21,00,336,8.0,10.1,99.00,99.00,99.00,999,1026.8,-7.1,999.0,-12.6,99.0,99.00
2010,01,08,22,00,352,7.5,10.0,99.00,99.00,99.00,999,1027.5,-6.8,999.0,-12.1,99.0,99.00
2010,01,08,23,00,330,6.7,8.0,99.00,99.00,99.00,999,1027.9,-7.1,999.0,-13.1,99.0,99.00
2010,01,09,00,00,312,4.7,5.5,99.00,99.00,99.00,999,1028.6,-8.6,999.0,-14.0,99.0,99.00
2010,01,09,01,00,315,4.1,5.0,99.00,99.00,99.00,999,1029.1,-9.4,999.0,-14.3,99.0,99.00
2010,01,09,02,00,322,5.1,6.5,99.00,99.00,99.00,999,1029.4,-9.4,999.0,-13.5,99.0,99.00
2010,01,09,03,00,316,5.5,6.7,99.00,99.00,99.00,999,1029.5,-9.8,999.0,-14.1,99.0,99.00
2010,01,09,04,00,322,6.8,8.1,99.00,99.00,99.00,999,1029.6,-9.8,999.0,-13.8,99.0,99.00
2010,01,09,05,00,315,6.4,7.9,99.00,99.00,99.00,999,1029.9,-9.7,999.0,-14.2,99.0,99.00
2010,01,09,06,00,321,6.5,7.9,99.00,99.00,99.00,999,1029.6,-9.8,999.0,-13.7,99.0,99.00
2010,01,09,07,00,326,7.9,8.8,99.00,99.00,99.00,999,1029.5,-9.5,999.0,-13.9,99.0,99.00
2010,01,09,08,00,327,7.3,9.1,99.00,99.00,99.00,999,1029.8,-9.7,999.0,-13.5,99.0,99.00
2010,01,09,09,00,318,7.8,9.4,99.00,99.00,99.00,999,1029.8,-9.8,999.0,-13.7,99.0,99.00
2010,01,09,10,00,327,7.3,8.3,99.00,99.00,99.00,999,1030.2,-9.7,999.0,-13.3,99.0,99.00
2010,01,09,11,00,329,5.3,6.4,99.00,99.00,99.00,999,1031.0,-9.5,999.0,-12.6,99.0,99.00
2010,01,09,12,00,332,6.0,7.4,99.00,99.00,99.00,999,1031.5,-9.6,999.0,-13.0,99.0,99.00
2010,01,09,13,00,328,5.7,6.5,99.00,99.00,99.00,999,1031.9,-9.4,999.0,-12.5,99.0,99.00
2010,01,09,14,00,331,5.2,6.4,99.00,99.00,99.00,999,1032.4,-9.2,999.0,-12.5,99.0,99.00
2010,01,09,15,00,334,6.1,7.2,99.00,99.00,99.00,999,1032.8,-9.3,999.0,-12.7,99.0,99.00
2010,01,09,16,00,312,6.0,7.1,99.00,99.00,99.00,999,1033.0,-9.3,999.0,-12.8,99.0,99.00
2010,01,09,17,00,323,4.6,5.1,99.00,99.00,99.00,999,1032.8,-8.2,999.0,-12.0,99.0,99.00
2010,01,09,18,00,333,6.9,7.7,99.00,99.00,99.00,999,1032.3,-7.8,999.0,-12.4,99.0,99.00
2010,01,09,19,00,322,5.3,6.3,99.00,99.00,99.00,999,1031.9,-7.3,999.0,-12.0,99.0,99.00
2010,01,09,20,00,324,5.9,6.9,99.00,99.00,99.00,999,1031.6,-7.2,999.0,-12.3,99.0,99.00
2010,01,09,21,00,339,4.2,4.9,99.00,99.00,99.00,999,1031.8,-6.9,999.0,-11.9,99.0,99.00
2010,01,09,22,00,332,4.3,4.7,99.00,99.00,99.00,999,1031.7,-7.1,999.0,-12.3,99.0,99.00
2010,01,09,23,00,299,2.5,3.1,99.00,99.00,99.00,999,1032.0,-8.0,999.0,-12.6,99.0,99.00
2010,01,10,00,00,290,2.8,3.4,99.00,99.00,99.00,999,1032.3,-9.1,999.0,-12.7,99.0,99.00
2010,01,10,01,00,284,3.9,4.5,99.00,99.00,99.00,999,1032.7,-9.8,999.0,-13.1,99.0,99.00
2010,01,10,02,00,259,4.3,4.9,99.00,99.00,99.00,999,1032.2,-10.7,999.0,-13.6,99.0,99.00
2010,01,10,03,00,252,4.9,5.5,99.00,99.00,99.00,999,1031.8,-11.4,999.0,-14.1,99.0,99.00
2010,01,10,04,00,259,4.1,4.7,99.00,99.00,99.00,999,1032.0,-12.0,999.0,-14.6,99.0,99.00
